"key","en","es","fr","status"
"uncrpd.sections.monitoring","Monitoring & Implementation","Monitoreo e Implementación","Suivi et mise en œuvre","ok"
"uncrpd.sections.apply","Applying the UNCRPD","Aplicando la UNCRPD","Appliquer l'UNCRPD","ok"
"uncrpd.sections.canada","Canada – Article 33 Implementation","Canadá – Implementación Artículo 33","Canada – Mise en œuvre Article 33","ok"
"uncrpd.workflow.heading","Practical Workflow","Flujo práctico","Flux pratique","ok"
"uncrpd.workflow.step1","1. Identify the relevant UNCRPD article(s) and any clarifying General Comment.","1. Identifica los artículos UNCRPD relevantes y cualquier Comentario General aclaratorio.","1. Identifier les articles UNCRPD pertinents et toute Observation générale clarificatrice.","ok"
"uncrpd.workflow.step2","2. Map facts and barriers to treaty language (rights affected, duties triggered).","2. Mapea hechos y barreras al lenguaje del tratado (derechos afectados, deberes activados).","2. Aligner faits et obstacles avec le texte du traité (droits touchés, obligations déclenchées).","ok"
"uncrpd.workflow.step3","3. Collect supporting evidence (timelines, medical notes, accommodation records).","3. Reúne evidencia de apoyo (cronologías, notas médicas, registros de adaptaciones).","3. Rassembler preuves de soutien (chronologies, notes médicales, dossiers d'aménagement).","ok"
"uncrpd.workflow.step4","4. Frame requests or submissions using article citations + plain language impact.","4. Formula solicitudes o escritos citando artículos + impacto en lenguaje sencillo.","4. Formuler demandes ou mémoires en citant articles + impact en langage simple.","ok"
"uncrpd.workflow.step5","5. Reference monitoring or implementation guidance for follow‑up or escalation.","5. Referencia guías de monitoreo/implementación para seguimiento o escalamiento.","5. Référencer guides de suivi / mise en œuvre pour suivi ou escalade.","ok"
"uncrpd.workflow.step6","6. Track outcomes and iterate – update evidence and article mapping as needed.","6. Sigue resultados y itera – actualiza evidencia y mapeo de artículos según necesidad.","6. Suivre résultats et itérer – mettre à jour preuves et cartographie des articles au besoin.","ok"
"uncrpd.indicator.title","Indicator Design Tips","Consejos de diseño de indicadores","Conseils conception indicateurs","ok"
"uncrpd.indicator.body","Use OHCHR model: Structure (laws/mandates), Process (program coverage, participation), Outcome (employment retention, accommodation resolution timelines, reduction in claim suppression).","Usa modelo OHCHR: Estructura (leyes/mandatos), Proceso (cobertura, participación), Resultado (retención laboral, tiempos de resolución de adaptaciones, reducción de supresión de reclamaciones).","Utiliser modèle HCDH : Structure (lois/mandats), Processus (couverture programmes, participation), Résultat (maintien en emploi, délais résolution aménagements, réduction suppression réclamations).","ok"
"uncrpd.actions.openArticles","Open Articles & GCs","Abrir artículos y CGs","Ouvrir articles et OG","ok"
"uncrpd.actions.openMonitoring","Open Monitoring Tools","Abrir herramientas de monitoreo","Ouvrir outils de suivi","ok"
"uncrpd.actions.openApplication","Open Application How-To","Abrir guía de aplicación","Ouvrir guide d'application","ok"
"uncrpd.actions.gcEmployment","Employment (GC 8)","Empleo (CG 8)","Emploi (OG 8)","ok"
"uncrpd.actions.gcLegalCapacity","Legal Capacity (GC 1)","Capacidad jurídica (CG 1)","Capacité juridique (OG 1)","ok"
"uncrpd.actions.gcAccessibility","Accessibility (GC 2)","Accesibilidad (CG 2)","Accessibilité (OG 2)","ok"
"masterIndex.title","Master Research Index","Índice maestro de investigación","Index maître de recherche","ok"
"masterIndex.screenLabel","Master research index screen","Pantalla índice maestro investigación","Écran index maître recherche","ok"
"masterIndex.intro","Hierarchical map of authoritative data sources, research hubs, thematic drill-downs, historical frameworks, and search strategies across Canada and global contexts.","Mapa jerárquico de fuentes de datos autorizadas, hubs de investigación, análisis temáticos, marcos históricos y estrategias de búsqueda en Canadá y global.","Carte hiérarchique des sources de données faisant autorité, hubs de recherche, analyses thématiques, cadres historiques et stratégies de recherche au Canada et globalement.","ok"
"masterIndex.results.one","{{count}} link","{{count}} enlace","{{count}} lien","ok"
"masterIndex.results.other","{{count}} links","{{count}} enlaces","{{count}} liens","ok"
"masterIndex.filterLabel","Filter sources","Filtrar fuentes","Filtrer les sources","ok"
"masterIndex.searchPlaceholder","Search themes, portals, hubs...","Buscar temas, portales, hubs...","Rechercher thèmes, portails, hubs...","ok"
"masterIndex.sections.canada","Master Index — Canada","Índice maestro — Canadá","Index maître — Canada","ok"
"masterIndex.sections.global","Master Index — Global & Regional","Índice maestro — Global y Regional","Index maître — Global & Régional","ok"
"masterIndex.sections.themes","Thematic Drill-Downs","Análisis temáticos","Analyses thématiques","ok"
"masterIndex.sections.landmarks","Historical Bedrock & Frameworks","Marcos históricos","Cadres historiques","ok"
"masterIndex.sections.search","Search Portals","Portales de búsqueda","Portails de recherche","ok"
"masterIndex.sections.howTo","How to Use This Map","Cómo usar este mapa","Comment utiliser cette carte","ok"
"masterIndex.chipsAnnounce","Quick filter set to {{label}}","Filtro rápido establecido en {{label}}","Filtre rapide défini sur {{label}}","ok"
"eventsFeature.createToggleOpen","Create Event","Create Event","Create Event","untranslated"
"eventsFeature.createToggleClose","Close Form","Close Form","Close Form","untranslated"
"eventsFeature.form.titlePlaceholder","Title","Title","Title","untranslated"
"eventsFeature.form.descriptionPlaceholder","Description","Description","Description","untranslated"
"eventsFeature.form.datePlaceholder","Date (YYYY-MM-DD HH:MM)","Date (YYYY-MM-DD HH:MM)","Date (YYYY-MM-DD HH:MM)","untranslated"
"eventsFeature.form.locationPlaceholder","Location (optional)","Location (optional)","Location (optional)","untranslated"
"eventsFeature.form.add","Add Event","Add Event","Add Event","untranslated"
"eventsFeature.form.invalidDate","Invalid date","Invalid date","Invalid date","untranslated"
"eventsFeature.form.added","Event added","Event added","Event added","untranslated"
"eventsFeature.chips.virtual","Virtual","Virtual","Virtual","untranslated"
"eventsFeature.chips.asl","ASL","ASL","ASL","untranslated"
"eventsFeature.chips.captions","Captions","Captions","Captions","untranslated"
"eventsFeature.chips.stepFree","Step-free","Step-free","Step-free","untranslated"
"eventsFeature.chips.sensory","Sensory","Sensory","Sensory","untranslated"
"eventsFeature.reminders.add","Add Reminder","Add Reminder","Add Reminder","untranslated"
"eventsFeature.reminders.remove","Remove Reminder","Remove Reminder","Remove Reminder","untranslated"
"eventsFeature.reminders.disabledTitle","Reminders Disabled","Reminders Disabled","Reminders Disabled","untranslated"
"eventsFeature.reminders.disabledBody","Enable Event Reminders in Settings to schedule local notifications.","Enable Event Reminders in Settings to schedule local notifications.","Enable Event Reminders in Settings to schedule local notifications.","untranslated"
"eventsFeature.reminders.scheduled","Reminder set for 60 minutes before start.","Reminder set for 60 minutes before start.","Reminder set for 60 minutes before start.","untranslated"
"eventsFeature.reminders.removed","Event reminder removed.","Event reminder removed.","Event reminder removed.","untranslated"
"eventsFeature.reminders.tooSoon","Event is starting too soon for a reminder.","Event is starting too soon for a reminder.","Event is starting too soon for a reminder.","untranslated"
"eventsFeature.reminders.invalidDate","Cannot parse event date.","Cannot parse event date.","Cannot parse event date.","untranslated"
"eventsFeature.reminders.failed","Unable to schedule reminder.","Unable to schedule reminder.","Unable to schedule reminder.","untranslated"
"eventsFeature.reminders.addCalendar","Add to Calendar","Add to Calendar","Add to Calendar","untranslated"
"about.title","About & Contact","[T] About & Contact","[T] About & Contact","tagged"
"about.intro1","Empowr supports injured workers, the disability community, advocates and allies with tools, resources, and updates.","[T] Empowr supports injured workers, the disability community, advocates and allies with tools, resources, and updates.","[T] Empowr supports injured workers, the disability community, advocates and allies with tools, resources, and updates.","tagged"
"about.intro2","Vision: a full lifecycle empowerment hub - starting with Health (tracking, medical resources), moving into Claims/Appeals (legal + advocacy tools), into Recovery (wellness + return to work), and ending in Collective Action (campaigns, systemic change). One home for both survival and transformation.","[T] Vision: a full lifecycle empowerment hub - starting with Health (tracking, medical resources), moving into Claims/Appeals (legal + advocacy tools), into Recovery (wellness + return to work), and ending in Collective Action (campaigns, systemic change). One home for both survival and transformation.","[T] Vision: a full lifecycle empowerment hub - starting with Health (tracking, medical resources), moving into Claims/Appeals (legal + advocacy tools), into Recovery (wellness + return to work), and ending in Collective Action (campaigns, systemic change). One home for both survival and transformation.","tagged"
"about.intro3","Questions, suggestions, or requests? Reach out anytime.","[T] Questions, suggestions, or requests? Reach out anytime.","[T] Questions, suggestions, or requests? Reach out anytime.","tagged"
"about.emailLabel","Email","[T] Email","[T] Email","tagged"
"about.subjectPlaceholder","Subject","[T] Subject","[T] Subject","tagged"
"about.messagePlaceholder","Your message","[T] Your message","[T] Your message","tagged"
"about.send","Send","[T] Send","[T] Send","tagged"
"about.sendLabel","Send email","[T] Send email","[T] Send email","tagged"
"about.emailNotConfiguredTitle","Email not configured","[T] Email not configured","[T] Email not configured","tagged"
"about.emailNotConfiguredBody","Please email {{email}}","[T] Please email {{email}}","[T] Please email {{email}}","tagged"
"about.validationMissing","Subject and message required","[T] Subject and message required","[T] Subject and message required","tagged"
"faqs.title","FAQs","[T] FAQs","[T] FAQs","tagged"
"faqs.searchPlaceholder","Search FAQs","[T] Search FAQs","[T] Search FAQs","tagged"
"faqs.searchLabel","Search FAQs","[T] Search FAQs","[T] Search FAQs","tagged"
"faqs.questionPlaceholder","Question","[T] Question","[T] Question","tagged"
"faqs.answerPlaceholder","Answer","[T] Answer","[T] Answer","tagged"
"faqs.add","Add","[T] Add","[T] Add","tagged"
"faqs.addLabel","Add FAQ","[T] Add FAQ","[T] Add FAQ","tagged"
"faqs.empty","No FAQs found","[T] No FAQs found","[T] No FAQs found","tagged"
"voiceHelp.title","Voice Help","[T] Voice Help","[T] Voice Help","tagged"
"voiceHelp.intro","Press the mic and say a command:","[T] Press the mic and say a command:","[T] Press the mic and say a command:","tagged"
"voiceHelp.commands.openResources","Open resources","[T] Open resources","[T] Open resources","tagged"
"voiceHelp.commands.openRatings","Open ratings","[T] Open ratings","[T] Open ratings","tagged"
"voiceHelp.commands.openAdvocacy","Open advocacy","[T] Open advocacy","[T] Open advocacy","tagged"
"voiceHelp.commands.openCommunity","Open community","[T] Open community","[T] Open community","tagged"
"voiceHelp.commands.openSettings","Open settings","[T] Open settings","[T] Open settings","tagged"
"voiceHelp.commands.openAdminPending","Open admin pending / approved / trash","[T] Open admin pending / approved / trash","[T] Open admin pending / approved / trash","tagged"
"voiceHelp.commands.openRightsExplainer","Open rights explainer","[T] Open rights explainer","[T] Open rights explainer","tagged"
"voiceHelp.commands.openDoctorPrep","Open doctor visit prep","[T] Open doctor visit prep","[T] Open doctor visit prep","tagged"
"voiceHelp.commands.openA11yLog","Open accessibility log","[T] Open accessibility log","[T] Open accessibility log","tagged"
"voiceHelp.commands.openRehabTracker","Open rehab tracker","[T] Open rehab tracker","[T] Open rehab tracker","tagged"
"voiceHelp.commands.openWorldMap","Open world map","[T] Open world map","[T] Open world map","tagged"
"voiceHelp.commands.openMediaStudio","Open media studio","[T] Open media studio","[T] Open media studio","tagged"
"voiceHelp.commands.goBack","Back / Go back","[T] Back / Go back","[T] Back / Go back","tagged"
"savedScreen.subtitle","Organize and access your bookmarked content","[T] Organize and access your bookmarked content","[T] Organize and access your bookmarked content","tagged"
"savedScreen.searchPlaceholder","Search saved items...","[T] Search saved items...","[T] Search saved items...","tagged"
"savedScreen.searchLabel","Search saved items","[T] Search saved items","[T] Search saved items","tagged"
"savedScreen.searchHint","Search through your saved podcasts, resources, and campaigns","[T] Search through your saved podcasts, resources, and campaigns","[T] Search through your saved podcasts, resources, and campaigns","tagged"
"savedScreen.clearSearch","Clear search","[T] Clear search","[T] Clear search","tagged"
"savedScreen.filters.all","All","[T] All","[T] All","tagged"
"savedScreen.filters.podcast","Podcasts","[T] Podcasts","[T] Podcasts","tagged"
"savedScreen.filters.resource","Resources","[T] Resources","[T] Resources","tagged"
"savedScreen.filters.campaign","Campaigns","[T] Campaigns","[T] Campaigns","tagged"
"savedScreen.view.list","List view","[T] List view","[T] List view","tagged"
"savedScreen.view.grid","Grid view","[T] Grid view","[T] Grid view","tagged"
"savedScreen.resultsCount","{{count}} result{{plural}} found","[T] {{count}} result{{plural}} found","[T] {{count}} result{{plural}} found","tagged"
"savedScreen.emptyNoneTitle","No saved items yet","[T] No saved items yet","[T] No saved items yet","tagged"
"savedScreen.emptyNoneBody","Start saving podcasts, resources, and campaigns to access them here","[T] Start saving podcasts, resources, and campaigns to access them here","[T] Start saving podcasts, resources, and campaigns to access them here","tagged"
"savedScreen.emptySearchTitle","No results found","[T] No results found","[T] No results found","tagged"
"savedScreen.emptySearchBody","Try adjusting your search or filter criteria","[T] Try adjusting your search or filter criteria","[T] Try adjusting your search or filter criteria","tagged"
"savedScreen.a11y.screenLabel","[T] savedScreen.a11y.screenLabel","[T] savedScreen.a11y.screenLabel","[T] savedScreen.a11y.screenLabel","tagged"
"savedScreen.searchA11y.label","[T] savedScreen.searchA11y.label","[T] savedScreen.searchA11y.label","[T] savedScreen.searchA11y.label","tagged"
"savedScreen.searchA11y.hint","[T] savedScreen.searchA11y.hint","[T] savedScreen.searchA11y.hint","[T] savedScreen.searchA11y.hint","tagged"
"savedScreen.searchA11y.clear","[T] savedScreen.searchA11y.clear","[T] savedScreen.searchA11y.clear","[T] savedScreen.searchA11y.clear","tagged"
"appealCoach.newResponse","[T] appealCoach.newResponse","[T] appealCoach.newResponse","[T] appealCoach.newResponse","tagged"
"appealCoach.transcriptTitle","[T] appealCoach.transcriptTitle","[T] appealCoach.transcriptTitle","[T] appealCoach.transcriptTitle","tagged"
"appealCoach.reset","[T] appealCoach.reset","[T] appealCoach.reset","[T] appealCoach.reset","tagged"
"appealCoach.screenLabel","[T] appealCoach.screenLabel","[T] appealCoach.screenLabel","[T] appealCoach.screenLabel","tagged"
"appealCoach.howToUse","[T] appealCoach.howToUse","[T] appealCoach.howToUse","[T] appealCoach.howToUse","tagged"
"appealCoach.howToUseTitle","[T] appealCoach.howToUseTitle","[T] appealCoach.howToUseTitle","[T] appealCoach.howToUseTitle","tagged"
"appealCoach.instructions","[T] appealCoach.instructions","[T] appealCoach.instructions","[T] appealCoach.instructions","tagged"
"appealCoach.share","[T] appealCoach.share","[T] appealCoach.share","[T] appealCoach.share","tagged"
"appealCoach.shareHint","[T] appealCoach.shareHint","[T] appealCoach.shareHint","[T] appealCoach.shareHint","tagged"
"appealCoach.shareBtn","[T] appealCoach.shareBtn","[T] appealCoach.shareBtn","[T] appealCoach.shareBtn","tagged"
"appealCoach.resetLabel","[T] appealCoach.resetLabel","[T] appealCoach.resetLabel","[T] appealCoach.resetLabel","tagged"
"appealCoach.resetHint","[T] appealCoach.resetHint","[T] appealCoach.resetHint","[T] appealCoach.resetHint","tagged"
"appealCoach.resetBtn","[T] appealCoach.resetBtn","[T] appealCoach.resetBtn","[T] appealCoach.resetBtn","tagged"
"appealCoach.skipToInput","[T] appealCoach.skipToInput","[T] appealCoach.skipToInput","[T] appealCoach.skipToInput","tagged"
"appealCoach.skipToInputHint","[T] appealCoach.skipToInputHint","[T] appealCoach.skipToInputHint","[T] appealCoach.skipToInputHint","tagged"
"appealCoach.skip","[T] appealCoach.skip","[T] appealCoach.skip","[T] appealCoach.skip","tagged"
"appealCoach.title","[T] appealCoach.title","[T] appealCoach.title","[T] appealCoach.title","tagged"
"appealCoach.you","[T] appealCoach.you","[T] appealCoach.you","[T] appealCoach.you","tagged"
"appealCoach.coach","[T] appealCoach.coach","[T] appealCoach.coach","[T] appealCoach.coach","tagged"
"appealCoach.messages","[T] appealCoach.messages","[T] appealCoach.messages","[T] appealCoach.messages","tagged"
"appealCoach.copied","[T] appealCoach.copied","[T] appealCoach.copied","[T] appealCoach.copied","tagged"
"appealCoach.lastResponseCopied","[T] appealCoach.lastResponseCopied","[T] appealCoach.lastResponseCopied","[T] appealCoach.lastResponseCopied","tagged"
"appealCoach.clipboardMissingTitle","[T] appealCoach.clipboardMissingTitle","[T] appealCoach.clipboardMissingTitle","[T] appealCoach.clipboardMissingTitle","tagged"
"appealCoach.clipboardMissingMsg","[T] appealCoach.clipboardMissingMsg","[T] appealCoach.clipboardMissingMsg","[T] appealCoach.clipboardMissingMsg","tagged"
"appealCoach.copyLast","[T] appealCoach.copyLast","[T] appealCoach.copyLast","[T] appealCoach.copyLast","tagged"
"appealCoach.copyLastHint","[T] appealCoach.copyLastHint","[T] appealCoach.copyLastHint","[T] appealCoach.copyLastHint","tagged"
"appealCoach.copyLastBtn","[T] appealCoach.copyLastBtn","[T] appealCoach.copyLastBtn","[T] appealCoach.copyLastBtn","tagged"
"appealCoach.conversationCopied","[T] appealCoach.conversationCopied","[T] appealCoach.conversationCopied","[T] appealCoach.conversationCopied","tagged"
"appealCoach.copyConversation","[T] appealCoach.copyConversation","[T] appealCoach.copyConversation","[T] appealCoach.copyConversation","tagged"
"appealCoach.copyConversationHint","[T] appealCoach.copyConversationHint","[T] appealCoach.copyConversationHint","[T] appealCoach.copyConversationHint","tagged"
"appealCoach.copyChatBtn","[T] appealCoach.copyChatBtn","[T] appealCoach.copyChatBtn","[T] appealCoach.copyChatBtn","tagged"
"appealCoach.sendBtn","[T] appealCoach.sendBtn","[T] appealCoach.sendBtn","[T] appealCoach.sendBtn","tagged"
"bodyMechanics.tipWrists","[T] bodyMechanics.tipWrists","[T] bodyMechanics.tipWrists","[T] bodyMechanics.tipWrists","tagged"
"bodyMechanics.tipHinge","[T] bodyMechanics.tipHinge","[T] bodyMechanics.tipHinge","[T] bodyMechanics.tipHinge","tagged"
"bodyMechanics.tipPacing","[T] bodyMechanics.tipPacing","[T] bodyMechanics.tipPacing","[T] bodyMechanics.tipPacing","tagged"
"bodyMechanics.analysisComplete","[T] bodyMechanics.analysisComplete","[T] bodyMechanics.analysisComplete","[T] bodyMechanics.analysisComplete","tagged"
"bodyMechanics.analysisFailTitle","[T] bodyMechanics.analysisFailTitle","[T] bodyMechanics.analysisFailTitle","[T] bodyMechanics.analysisFailTitle","tagged"
"bodyMechanics.analysisFailMsg","[T] bodyMechanics.analysisFailMsg","[T] bodyMechanics.analysisFailMsg","[T] bodyMechanics.analysisFailMsg","tagged"
"bodyMechanics.shareTitle","[T] bodyMechanics.shareTitle","[T] bodyMechanics.shareTitle","[T] bodyMechanics.shareTitle","tagged"
"bodyMechanics.shareFailTitle","[T] bodyMechanics.shareFailTitle","[T] bodyMechanics.shareFailTitle","[T] bodyMechanics.shareFailTitle","tagged"
"bodyMechanics.shareFailMsg","[T] bodyMechanics.shareFailMsg","[T] bodyMechanics.shareFailMsg","[T] bodyMechanics.shareFailMsg","tagged"
"bodyMechanics.copiedTitle","[T] bodyMechanics.copiedTitle","[T] bodyMechanics.copiedTitle","[T] bodyMechanics.copiedTitle","tagged"
"bodyMechanics.copiedMsg","[T] bodyMechanics.copiedMsg","[T] bodyMechanics.copiedMsg","[T] bodyMechanics.copiedMsg","tagged"
"bodyMechanics.clipboardFailTitle","[T] bodyMechanics.clipboardFailTitle","[T] bodyMechanics.clipboardFailTitle","[T] bodyMechanics.clipboardFailTitle","tagged"
"bodyMechanics.clipboardFailMsg","[T] bodyMechanics.clipboardFailMsg","[T] bodyMechanics.clipboardFailMsg","[T] bodyMechanics.clipboardFailMsg","tagged"
"bodyMechanics.screenLabel","[T] bodyMechanics.screenLabel","[T] bodyMechanics.screenLabel","[T] bodyMechanics.screenLabel","tagged"
"bodyMechanics.howToUse","[T] bodyMechanics.howToUse","[T] bodyMechanics.howToUse","[T] bodyMechanics.howToUse","tagged"
"bodyMechanics.howToUseTitle","[T] bodyMechanics.howToUseTitle","[T] bodyMechanics.howToUseTitle","[T] bodyMechanics.howToUseTitle","tagged"
"bodyMechanics.instructions","[T] bodyMechanics.instructions","[T] bodyMechanics.instructions","[T] bodyMechanics.instructions","tagged"
"bodyMechanics.export","[T] bodyMechanics.export","[T] bodyMechanics.export","[T] bodyMechanics.export","tagged"
"bodyMechanics.exportHint","[T] bodyMechanics.exportHint","[T] bodyMechanics.exportHint","[T] bodyMechanics.exportHint","tagged"
"bodyMechanics.exportBtn","[T] bodyMechanics.exportBtn","[T] bodyMechanics.exportBtn","[T] bodyMechanics.exportBtn","tagged"
"bodyMechanics.copy","[T] bodyMechanics.copy","[T] bodyMechanics.copy","[T] bodyMechanics.copy","tagged"
"bodyMechanics.copyHint","[T] bodyMechanics.copyHint","[T] bodyMechanics.copyHint","[T] bodyMechanics.copyHint","tagged"
"bodyMechanics.copyBtn","[T] bodyMechanics.copyBtn","[T] bodyMechanics.copyBtn","[T] bodyMechanics.copyBtn","tagged"
"bodyMechanics.reset","[T] bodyMechanics.reset","[T] bodyMechanics.reset","[T] bodyMechanics.reset","tagged"
"bodyMechanics.resetHint","[T] bodyMechanics.resetHint","[T] bodyMechanics.resetHint","[T] bodyMechanics.resetHint","tagged"
"bodyMechanics.resetBtn","[T] bodyMechanics.resetBtn","[T] bodyMechanics.resetBtn","[T] bodyMechanics.resetBtn","tagged"
"bodyMechanics.subtitle","[T] bodyMechanics.subtitle","[T] bodyMechanics.subtitle","[T] bodyMechanics.subtitle","tagged"
"bodyMechanics.pickFailTitle","[T] bodyMechanics.pickFailTitle","[T] bodyMechanics.pickFailTitle","[T] bodyMechanics.pickFailTitle","tagged"
"bodyMechanics.pickFailMsg","[T] bodyMechanics.pickFailMsg","[T] bodyMechanics.pickFailMsg","[T] bodyMechanics.pickFailMsg","tagged"
"bodyMechanics.pick","[T] bodyMechanics.pick","[T] bodyMechanics.pick","[T] bodyMechanics.pick","tagged"
"bodyMechanics.pickHint","[T] bodyMechanics.pickHint","[T] bodyMechanics.pickHint","[T] bodyMechanics.pickHint","tagged"
"bodyMechanics.pickBtn","[T] bodyMechanics.pickBtn","[T] bodyMechanics.pickBtn","[T] bodyMechanics.pickBtn","tagged"
"bodyMechanics.selectedLabel","[T] bodyMechanics.selectedLabel","[T] bodyMechanics.selectedLabel","[T] bodyMechanics.selectedLabel","tagged"
"bodyMechanics.analyzing","[T] bodyMechanics.analyzing","[T] bodyMechanics.analyzing","[T] bodyMechanics.analyzing","tagged"
"bodyMechanics.suggestions","[T] bodyMechanics.suggestions","[T] bodyMechanics.suggestions","[T] bodyMechanics.suggestions","tagged"
"bodyMechanics.noSuggestionsYet","[T] bodyMechanics.noSuggestionsYet","[T] bodyMechanics.noSuggestionsYet","[T] bodyMechanics.noSuggestionsYet","tagged"
